queries,files
Dimensions-363.4-x-250.5-x-17.95-mm,Laptop.json
up-to-3-hours,Laptop.json
Shamrock-Green,Laptop.json
Part-Number-MJX-00024,Laptop.json
Dimensions-326-x-225-x-17.9-mm,Laptop.json
Dimensions-381.6-x-263-x-20.95-mm,Laptop.json
Ideapad-520,Laptop.json
Angel-Blue,Laptop.json
Model-Number-G9-591,Laptop.json
Model-Number-MQD32HN/A-A1466,Laptop.json
Swift-7,Laptop.json
Part-Number-81Y400BPIN,Laptop.json
0.92-kg,Laptop.json
Ryzen-5-Quad-Core,Laptop.json
1-Year-Limited-Warranty,Laptop.json
Cache-9-MB,Laptop.json
VGA-Webcam,Laptop.json
Processor-Variant-8500Y,Laptop.json
1-Year-onsite-warranty,Laptop.json
Dual-Array-Digital-Microphone,Laptop.json
1.37-kg,Laptop.json
Graphic-Processor-NVIDIA-Geforce-RTX-2060,Laptop.json
Wireless-LAN-Intel-Wireless-AC-9560,Laptop.json
Ryzen-3-Dual-Core,Laptop.json
Dimensions-359-x-246-x-24-mm,Laptop.json
Screen-Resolution-3200-x-1800-pixel,Laptop.json
Part-Number-NS14A2IN215P,Laptop.json
Part-Number-90NB0Q91-M00710,Laptop.json
Part-Number-NS13A2IN206P,Laptop.json
ZenBook-15,Laptop.json
Part-Number-BLK-C566515WIN9,Laptop.json
500-GB,Laptop.json
10th-Gen,Laptop.json
9JB01PA#ACJ,Laptop.json
Integrated-Digital-Microphone,Laptop.json
Waves-Maxx-Audio-Pro,Laptop.json
Pentium-Gold,Laptop.json
Dimensions-324-x-222.9-x-20.5-mm,Laptop.json
Web-Camera-HD-Webcam-(30-fps-at-720p),Laptop.json
Part-Failure,Laptop.json
Dimensions-349.3-x-240.7-x-15.5-mm,Laptop.json
Wireless-LAN-Yes,Laptop.json
Dimensions-324.8-x-224.4-x-19.5-mm,Laptop.json
Asus-Splendid,Laptop.json
Dimensions-322-x-212-x-19.9-mm,Laptop.json
Processor-Variant-6006U,Laptop.json
Cache-3-MB,Laptop.json
MS-Office-Provided-No,Laptop.json
Part-Number-81XA002SIN,Laptop.json
1.25-kg,Laptop.json
3.4-kg,Laptop.json
Model-Number-A515-55,Laptop.json
Screen-Resolution-2880-x-1920-Pixel,Laptop.json
Part-Number-X512FL-EJ502T,Laptop.json
Part-Number-81Y400BUIN,Laptop.json
Dimensions,Laptop.json
Wireless-LAN-YES,Laptop.json
Part-Number-3M184PA#ACJ,Laptop.json
Dedicated-Graphic-Memory-Type-GDDR3,Laptop.json
Screen-Resolution-1366-x-768-pixel,Laptop.json
64-bit,Laptop.json
3-cell,Laptop.json
Screen-Resolution-1366-X-768-pixel,Laptop.json
Model-Number-13-ar0118AU,Laptop.json
ZenBook-14,Laptop.json
Part-Number-NS14A2IN228P,Laptop.json
"USB-Port-3-x-USB-3.1,-1-x-USB-Type-C",Laptop.json
VivoBook,Laptop.json
Backlight-Keyboard,Laptop.json
Micro-SD-Card-Reader,Laptop.json
1.33-kg,Laptop.json
Realtek-ALC-233,Laptop.json
Dimensions-360-x-235-x-22.9-mm,Laptop.json
Model-Number-15-df1004TX,Laptop.json
Model-Number-S340-14IIL,Laptop.json
Part-Number-90NB0MY2-M03730,Laptop.json
